frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
31,car,0.42,,1387,325,1440,367,,0.42,right
31,car,0.42,,1387,324,1454,372,,0.42,right
31,car,0.38,,993,306,1068,344,,0.38,right
31,car,0.37,,1218,320,1250,343,,0.37,right
31,car,0.33,,1425,324,1481,378,,0.33,right
31,car,0.31,,1448,323,1513,382,,0.31,right
31,car,0.31,,1165,311,1209,350,,0.31,right
31,car,0.3,,1195,319,1244,347,,0.3,right
31,car,0.26,,1293,321,1325,347,,0.26,right
32,car,0.95,,0,269,795,910,,0.95,left
32,car,0.74,,1315,327,1390,370,,0.74,right
32,car,0.73,,1068,310,1171,385,,0.73,right
32,car,0.44,,1385,325,1441,367,,0.44,right
32,car,0.44,,1386,324,1457,372,,0.44,right
32,car,0.4,,1426,323,1503,379,,0.4,right
32,car,0.37,,1217,320,1249,342,,0.37,right
32,car,0.35,,994,306,1067,343,,0.35,right
32,car,0.34,,1163,309,1210,350,,0.34,right
32,car,0.33,,1455,323,1513,382,,0.33,right
32,car,0.33,,1421,324,1478,378,,0.33,right
32,car,0.31,,1197,318,1243,347,,0.31,right
32,car,0.28,,1296,322,1325,348,,0.28,right
33,car,0.94,,0,266,761,953,,0.94,left
33,car,0.75,,1065,310,1171,387,,0.75,right
33,car,0.69,,1313,329,1387,369,,0.69,right
33,car,0.45,,1384,325,1440,366,,0.45,right
33,car,0.42,,1386,324,1457,372,,0.42,right
33,car,0.39,,1427,323,1503,380,,0.39,right
33,car,0.37,,1218,320,1249,342,,0.37,right
33,car,0.37,,995,306,1068,343,,0.37,right
33,car,0.37,,1161,308,1210,351,,0.37,right
33,car,0.34,,1458,322,1513,381,,0.34,right
33,car,0.33,,1423,324,1478,378,,0.33,right
33,car,0.31,,1197,319,1240,347,,0.31,right
33,car,0.27,,1300,322,1325,350,,0.27,right
34,car,0.96,,0,260,721,1038,,0.96,left
34,car,0.74,,1063,310,1172,388,,0.74,right
34,car,0.71,,1312,329,1388,369,,0.71,right
34,car,0.43,,1384,326,1437,366,,0.43,right
34,car,0.41,,1387,324,1456,371,,0.41,right
34,car,0.39,,1427,323,1504,380,,0.39,right
34,car,0.37,,1218,320,1250,342,,0.37,right
34,car,0.35,,1160,309,1210,350,,0.35,right
34,car,0.34,,1458,323,1513,381,,0.34,right
34,car,0.33,,1424,324,1478,378,,0.33,right
34,car,0.33,,995,306,1070,344,,0.33,right
34,car,0.3,,1196,319,1243,346,,0.3,right
35,car,0.95,,1,260,679,984,,0.95,left
35,car,0.77,,1060,310,1171,391,,0.77,right
35,car,0.72,,1310,328,1386,370,,0.72,right
35,car,0.44,,1383,326,1437,365,,0.44,right
35,car,0.41,,1388,324,1458,372,,0.41,right
35,car,0.39,,1426,323,1505,380,,0.39,right
35,car,0.39,,1218,320,1250,342,,0.39,right
35,car,0.38,,1157,308,1209,349,,0.38,right
35,car,0.35,,1458,323,1513,381,,0.35,right
35,car,0.34,,996,306,1069,344,,0.34,right
35,car,0.33,,1194,318,1240,346,,0.33,right
35,car,0.33,,1423,324,1478,378,,0.33,right
36,car,0.94,,1,256,632,957,,0.94,left
36,car,0.78,,1055,311,1169,394,,0.78,right
36,car,0.71,,1309,327,1379,369,,0.71,right
