frame,license_plate,detected
440,B2867KH7,Yes
441,B2867KH7,Yes
442,B2867KH7,Yes
443,B2867KH7,Yes
444,B2867KH7,Yes
445,B2867KH7,Yes
446,B2867KH7,Yes
447,B2867KH7,Yes
448,B2867KH7,Yes
449,B2867KH7,Yes
450,B2867KH7,Yes
451,B2867KH7,Yes
452,B2867KH7,Yes
453,B2867KH7,Yes
454,B2867KHZ,Yes
455,B2867KHZ,Yes
456,B2867KHZ,Yes
457,B2867KH7,Yes
458,B2867KHZ,Yes
459,B2867KH7,Yes
460,B2867KHZ,Yes
461,B2867KHZ,Yes
462,B2867KHZ,Yes
463,B2867KHZ,Yes
464,B2867KHZ,Yes
465,B2867KHZ,Yes
466,B2867KHZ,Yes
467,B2867KHZ,Yes
468,B2867KHZ,Yes
469,B2867KH7,Yes
470,B2867KH7,Yes
471,B2867KH7,Yes
472,B2867KHZ,Yes
473,2867KHZ,Yes
474,2867KHZ,Yes
475,2867KHZ,Yes
476,B2867KHZ,Yes
477,2867KHZ,Yes
478,82867KHZ,Yes
479,82867KHZ,Yes
480,2867KHZ,Yes
481,82867KHZ,Yes
482,2867KHZ,Yes
483,B2867KHZ,Yes
484,B2867KHZ,Yes
485,B2867KH7,Yes
486,B2867KH7,Yes
487,B2867KH7,Yes
488,2867KHZ,Yes
489,B2867KHZ,Yes
490,B2867KHZ,Yes
491,B2867KHZ,Yes
492,B2867KHZ,Yes
493,B2867KHZ,Yes
494,2867KHZ,Yes
495,2867KHZ,Yes
496,2867KHZ,Yes
497,2867KHZ,Yes
498,2867KHZ,Yes
499,2867KHZ,Yes
500,2867KHZ,Yes
501,2867KHZ,Yes
502,B2867KHZ,Yes
503,2867KHZ,Yes
504,B2867KHZ,Yes
505,B2867KHZ,Yes
506,B2867KHZ,Yes
507,A2867KHZ,Yes
508,B2867KHZ,Yes
509,B2867KHZ,Yes
510,B2867KH7,Yes
511,82867KHZ,Yes
512,82867KHZ,Yes
513,82867KHZ,Yes
514,82867KH2,Yes
515,B2867KHZ,Yes
516,82867KHZ,Yes
517,82867KH2,Yes
518,B2867KHZ,Yes
519,82867KH2,Yes
520,82867KH2,Yes
521,82867KH2,Yes
522,B2867KHZ,Yes
523,B2867KH7,Yes
524,B2867KH7,Yes
525,B2867KH7,Yes
526,82867KHZ,Yes
527,82867KHZ,Yes
528,82867KHZ,Yes
529,82867KHZ,Yes
530,82867KHZ,Yes
531,82867KHZ,Yes
532,B2867KHZ,Yes
533,B2867KHZ,Yes
534,B2867KH7,Yes
535,82867KHZ,Yes
536,82867KHZ,Yes
537,B2867KHZ,Yes
538,82867KH2,Yes
539,B2867KH2,Yes
540,B2867KHZ,Yes
541,B2867KHZ,Yes
542,B2867KHZ,Yes
543,B2867KH2,Yes
544,B2867KHZ,Yes
545,B2867KHZ,Yes
546,B2867KHZ,Yes
547,82867KHZ,Yes
548,B2867KHZ,Yes
549,2867KHZ,Yes
550,B2867KH2,Yes
551,B2867KH2,Yes
552,2867KHZ,Yes
553,82867KHZ,Yes
554,B2867KH2,Yes
555,B2867KH2,Yes
556,2867KHZ,Yes
557,82867KHZ,Yes
558,2867KHZ,Yes
559,2867KHZ,Yes
560,82867KHZ,Yes
561,82867KHZ,Yes
562,B2867KHZ,Yes
563,2867KHZ,Yes
564,R2867KHZ,Yes
565,2867KH2,Yes
566,2867KH7,Yes
567,2867KH7,Yes
