frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
54,person,0.26,,81,191,90,215,,0.26,left
55,car,0.87,,270,164,472,304,,0.87,right
55,person,0.31,,600,200,616,228,,0.31,right
55,person,0.29,,104,193,111,213,,0.29,left
55,person,0.28,,81,190,90,215,,0.28,left
56,car,0.87,,270,164,472,304,3,0.87,right
56,person,0.35,,103,193,111,213,,0.35,left
56,person,0.3,,81,190,90,215,,0.3,left
56,person,0.26,,600,200,616,227,,0.26,right
57,car,0.88,,270,164,472,303,,0.88,right
57,person,0.37,,103,193,111,213,,0.37,left
57,person,0.33,,81,190,90,215,,0.33,left
58,car,0.88,,270,165,472,303,,0.88,right
58,person,0.35,,103,193,111,213,,0.35,left
58,person,0.34,,81,190,90,215,,0.34,left
59,car,0.87,,270,164,472,303,4,0.87,right
59,person,0.36,,103,193,111,213,,0.36,left
59,person,0.33,,81,190,90,215,,0.33,left
60,car,0.87,,270,164,472,303,,0.87,right
60,person,0.36,,103,193,111,213,,0.36,left
60,person,0.33,,81,190,90,215,,0.33,left
60,person,0.29,,598,199,613,234,,0.29,right
61,car,0.87,,270,164,471,304,2,0.87,right
61,person,0.36,,598,200,613,236,,0.36,right
61,person,0.36,,103,193,111,213,,0.36,left
61,person,0.32,,81,190,90,215,,0.32,left
62,car,0.88,,269,164,472,305,2,0.88,right
62,person,0.41,,597,200,614,236,,0.41,right
62,person,0.36,,103,193,111,213,,0.36,left
62,person,0.33,,81,190,90,215,,0.33,left
63,car,0.88,,270,164,472,304,2,0.88,right
63,person,0.41,,596,200,614,237,,0.41,right
63,person,0.33,,81,190,90,215,,0.33,left
63,person,0.32,,103,194,111,213,,0.32,left
64,car,0.88,,270,164,472,303,,0.88,right
64,person,0.31,,81,190,90,215,,0.31,left
64,person,0.31,,103,194,111,213,,0.31,left
64,car,0.29,,625,267,639,309,,0.29,right
64,person,0.27,,596,202,612,232,,0.27,right
65,car,0.88,,270,164,472,302,,0.88,right
65,car,0.59,,616,254,639,307,,0.59,right
65,person,0.3,,81,190,90,215,,0.3,left
65,person,0.3,,103,194,111,213,,0.3,left
66,car,0.9,,270,164,472,301,2,0.9,right
66,car,0.6,,607,246,639,310,,0.6,right
66,person,0.36,,596,201,610,237,,0.36,right
66,person,0.34,,103,194,111,213,,0.34,left
66,person,0.32,,81,190,90,215,,0.32,left
67,car,0.89,,270,164,472,302,,0.89,right
67,car,0.57,,600,244,639,308,,0.57,right
67,person,0.41,,595,201,610,239,,0.41,right
67,person,0.34,,103,193,111,214,,0.34,left
67,person,0.34,,81,190,90,216,,0.34,left
68,car,0.89,,270,165,472,301,,0.89,right
68,car,0.64,,592,222,639,309,,0.64,right
68,person,0.43,,595,201,610,238,,0.43,right
68,person,0.34,,81,190,90,216,,0.34,left
68,person,0.34,,103,193,111,214,,0.34,left
69,car,0.89,,270,165,472,302,4,0.89,right
69,car,0.63,,585,216,639,309,,0.63,right
69,person,0.44,,594,201,610,237,,0.44,right
69,person,0.35,,103,193,112,213,,0.35,left
69,person,0.35,,81,190,90,216,,0.35,left
69,person,0.26,,69,194,79,215,,0.26,left
70,car,0.89,,270,165,472,302,,0.89,right
70,car,0.68,,577,227,639,308,,0.68,right
70,person,0.38,,594,202,610,237,,0.38,right
70,car,0.35,,619,211,639,237,,0.35,right
70,person,0.34,,81,190,90,216,,0.34,left
70,person,0.33,,103,193,112,213,,0.33,left
71,car,0.89,,270,165,472,302,4,0.89,right
71,car,0.65,,572,210,639,311,A,0.65,right
71,person,0.5,,593,201,610,238,,0.5,right
71,person,0.35,,81,190,91,216,,0.35,left
71,person,0.31,,103,193,112,213,,0.31,left
72,car,0.89,,270,165,472,303,,0.89,right
72,car,0.63,,566,227,639,310,A,0.63,right
72,person,0.4,,593,201,609,225,,0.4,right
72,person,0.36,,81,190,91,216,,0.36,left
72,person,0.29,,103,193,112,213,,0.29,left
72,person,0.26,,69,194,79,214,,0.26,left
73,car,0.89,,270,165,472,303,,0.89,right
73,car,0.71,,560,227,639,310,A,0.71,right
73,person,0.34,,82,190,90,216,,0.34,left
73,car,0.32,,593,196,639,234,,0.32,right
73,person,0.26,,69,194,79,215,,0.26,left
74,car,0.89,,270,165,472,303,2,0.89,right
74,car,0.71,,554,226,639,310,A,0.71,right
74,person,0.35,,82,190,91,216,,0.35,left
74,person,0.28,,69,194,79,216,,0.28,left
74,person,0.27,,587,201,609,230,,0.27,right
74,person,0.27,,103,193,112,213,,0.27,left
75,car,0.89,,270,164,472,301,29,0.89,right
75,car,0.7,,550,225,639,310,,0.7,right
75,person,0.34,,82,190,91,216,,0.34,left
75,car,0.32,,550,181,639,312,A,0.32,right
75,car,0.3,,580,183,639,232,,0.3,right
75,person,0.28,,69,194,79,216,,0.28,left
75,person,0.26,,103,193,112,214,,0.26,left
76,car,0.89,,270,164,472,301,29,0.89,right
76,car,0.71,,545,179,639,311,,0.71,right
76,car,0.54,,545,225,639,309,4,0.54,right
76,car,0.35,,574,180,639,234,,0.35,right
76,person,0.34,,82,190,91,216,,0.34,left
76,person,0.28,,69,193,79,216,,0.28,left
76,person,0.26,,103,193,112,214,,0.26,left
77,car,0.89,,270,165,472,301,,0.89,right
77,car,0.81,,539,173,639,312,,0.81,right
77,car,0.5,,539,218,639,312,,0.5,right
77,person,0.34,,82,190,91,216,,0.34,left
77,person,0.28,,69,193,79,216,,0.28,left
78,car,0.9,,270,165,472,301,2,0.9,right
78,car,0.64,,537,218,639,312,,0.64,right
78,car,0.59,,536,172,639,313,,0.59,right
78,person,0.34,,81,190,91,216,,0.34,left
78,car,0.29,,560,172,639,233,,0.29,right
78,person,0.29,,69,193,79,216,,0.29,left
79,car,0.89,,270,165,472,302,,0.89,right
79,car,0.71,,532,217,639,312,,0.71,right
79,car,0.48,,558,167,639,232,,0.48,right
79,person,0.33,,81,191,91,216,,0.33,left
79,car,0.31,,533,166,639,313,,0.31,right
79,person,0.28,,69,193,79,216,,0.28,left
80,car,0.89,,270,165,472,301,,0.89,right
80,car,0.67,,530,164,639,312,,0.67,right
80,car,0.54,,529,217,639,312,,0.54,right
80,person,0.34,,81,191,91,216,,0.34,left
80,car,0.3,,554,165,639,232,,0.3,right
80,person,0.29,,69,193,79,216,,0.29,left
80,person,0.27,,103,193,112,214,,0.27,left
