frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
65,person,0.58,,80,189,90,215,,0.58,left
65,car,0.38,,615,252,639,309,,0.38,right
65,person,0.33,,70,191,78,214,,0.33,left
66,car,0.9,,270,165,473,301,82867KHZ,0.9,right
66,person,0.55,,80,189,90,215,,0.55,left
66,car,0.53,,608,244,639,311,,0.53,right
66,person,0.5,,596,201,610,239,,0.5,right
66,person,0.32,,70,191,78,214,,0.32,left
67,car,0.9,,270,165,473,300,2867KHZ,0.9,right
67,person,0.58,,595,200,610,240,,0.58,right
67,car,0.58,,599,237,639,309,,0.58,right
67,person,0.55,,80,189,90,216,,0.55,left
67,person,0.31,,70,191,79,214,,0.31,left
68,car,0.9,,270,166,473,300,62867KHZ,0.9,right
68,car,0.66,,592,233,639,309,,0.66,right
68,person,0.59,,595,200,610,240,,0.59,right
68,person,0.54,,80,189,90,216,,0.54,left
68,person,0.31,,70,191,79,214,,0.31,left
69,car,0.9,,270,166,473,300,62867KHZ,0.9,right
69,person,0.57,,595,201,610,237,,0.57,right
69,person,0.55,,80,190,90,216,,0.55,left
69,car,0.42,,585,231,639,309,,0.42,right
69,person,0.28,,70,191,79,214,,0.28,left
70,car,0.9,,270,166,473,300,62867KHZ,0.9,right
70,person,0.58,,594,201,609,236,,0.58,right
70,person,0.52,,80,190,90,216,,0.52,left
70,car,0.4,,577,213,639,310,,0.4,right
70,person,0.28,,70,191,79,214,,0.28,left
71,car,0.89,,270,166,473,300,62867KHZ,0.89,right
71,car,0.69,,574,210,639,310,,0.69,right
71,person,0.6,,594,200,610,233,,0.6,right
71,person,0.53,,80,190,91,216,,0.53,left
71,person,0.29,,70,191,79,214,,0.29,left
72,car,0.9,,270,166,473,300,62867KHZ,0.9,right
72,person,0.65,,594,200,608,225,,0.65,right
72,car,0.64,,566,210,639,310,,0.64,right
72,person,0.55,,80,190,91,216,,0.55,left
72,person,0.32,,70,191,79,214,,0.32,left
73,car,0.9,,269,166,473,300,62867KHZ,0.9,right
73,car,0.76,,561,193,639,311,,0.76,right
73,person,0.54,,80,190,90,216,,0.54,left
73,person,0.4,,592,200,610,226,,0.4,right
73,person,0.31,,70,191,79,214,,0.31,left
74,car,0.89,,269,166,473,301,82867KHZ,0.89,right
74,car,0.72,,556,186,639,310,,0.72,right
74,person,0.54,,80,190,91,216,,0.54,left
74,person,0.31,,70,191,79,214,,0.31,left
75,car,0.9,,270,166,473,300,62867KHZ,0.9,right
75,car,0.85,,550,180,639,311,,0.85,right
75,person,0.54,,80,190,91,216,,0.54,left
75,person,0.31,,70,191,79,214,,0.31,left
76,car,0.9,,270,166,473,301,82867KHZ,0.9,right
76,car,0.88,,545,175,639,310,,0.88,right
76,person,0.54,,81,189,91,216,,0.54,left
76,person,0.31,,70,191,79,214,,0.31,left
77,car,0.9,,270,166,473,300,82867KHZ,0.9,right
77,car,0.82,,540,174,639,310,,0.82,right
77,person,0.55,,80,189,91,216,,0.55,left
77,person,0.34,,70,191,79,214,,0.34,left
78,car,0.9,,270,166,473,300,2867KHZ,0.9,right
78,car,0.83,,537,173,639,310,,0.83,right
78,person,0.56,,80,190,90,216,,0.56,left
78,person,0.33,,70,191,79,214,,0.33,left
79,car,0.9,,270,166,473,301,82867KHZ,0.9,right
79,car,0.72,,532,167,639,310,,0.72,right
79,person,0.55,,80,190,90,216,,0.55,left
79,person,0.34,,70,191,79,214,,0.34,left
80,car,0.9,,270,166,473,301,82867KHZ,0.9,right
80,car,0.68,,530,165,639,310,,0.68,right
80,person,0.56,,80,190,90,216,,0.56,left
80,person,0.34,,70,191,78,214,,0.34,left
81,car,0.9,,270,166,473,301,82867KHZ,0.9,right
81,person,0.57,,80,190,90,216,,0.57,left
81,car,0.51,,525,161,639,310,,0.51,right
81,person,0.32,,70,191,78,214,,0.32,left
82,car,0.9,,270,166,473,301,42867KHZ,0.9,right
82,person,0.59,,80,190,90,217,,0.59,left
82,truck,0.35,,521,160,639,311,,0.35,right
82,car,0.35,,522,159,639,311,,0.35,right
82,person,0.33,,70,192,78,214,,0.33,left
83,car,0.9,,270,166,473,301,82867KHZ,0.9,right
83,person,0.59,,80,190,90,217,,0.59,left
83,car,0.43,,518,159,639,312,,0.43,right
83,person,0.33,,70,192,78,214,,0.33,left
84,car,0.9,,270,166,473,301,42867KHZ,0.9,right
84,person,0.59,,80,190,91,217,,0.59,left
84,truck,0.41,,516,160,639,312,,0.41,right
84,person,0.33,,70,191,78,214,,0.33,left
85,car,0.9,,270,166,473,301,42867KHZ,0.9,right
85,person,0.58,,80,190,91,217,,0.58,left
85,person,0.33,,70,191,79,214,,0.33,left
85,car,0.28,,513,161,639,310,,0.28,right
86,car,0.9,,270,166,473,301,42867KHZ,0.9,right
86,person,0.58,,80,189,91,217,,0.58,left
86,person,0.33,,70,191,78,214,,0.33,left
87,car,0.9,,270,166,473,301,42867KHZ,0.9,right
87,person,0.57,,80,189,91,217,,0.57,left
87,person,0.33,,70,192,78,214,,0.33,left
87,car,0.32,,508,158,639,311,,0.32,right
88,car,0.9,,270,166,473,301,42867KHZ,0.9,right
88,person,0.55,,80,190,91,217,,0.55,left
88,car,0.38,,505,158,639,310,,0.38,right
88,person,0.33,,70,192,78,214,,0.33,left
89,car,0.9,,270,166,473,301,42867KHZ,0.9,right
89,person,0.55,,80,189,91,217,,0.55,left
89,car,0.34,,502,160,639,310,,0.34,right
89,person,0.33,,70,192,78,214,,0.33,left
90,car,0.9,,271,166,472,301,82867KHZ,0.9,right
90,person,0.54,,80,189,91,217,,0.54,left
90,person,0.32,,70,192,78,214,,0.32,left
90,truck,0.31,,500,160,639,311,,0.31,right
91,car,0.9,,270,166,473,301,42867KHZ,0.9,right
91,person,0.54,,80,189,91,217,,0.54,left
91,car,0.33,,498,159,639,311,,0.33,right
91,person,0.32,,70,192,78,214,,0.32,left
92,car,0.9,,271,166,473,301,B2867KHZ,0.9,right
92,person,0.54,,80,190,91,216,,0.54,left
92,car,0.37,,496,159,639,311,,0.37,right
92,person,0.35,,70,192,79,214,,0.35,left
93,car,0.91,,270,166,472,300,R2867KHZ,0.91,right
93,car,0.66,,493,159,639,311,,0.66,right
93,person,0.53,,80,190,91,216,,0.53,left
93,person,0.35,,70,192,79,214,,0.35,left
94,car,0.91,,271,166,472,301,82867KH2,0.91,right
94,person,0.54,,80,190,91,216,,0.54,left
94,car,0.34,,491,153,639,312,,0.34,right
94,person,0.34,,70,192,79,214,,0.34,left
95,car,0.91,,271,166,473,301,82867KHZ,0.91,right
95,car,0.61,,490,148,639,312,,0.61,right
95,person,0.55,,80,189,91,217,,0.55,left
95,person,0.35,,70,192,79,214,,0.35,left
96,car,0.91,,271,166,472,301,82867KHZ,0.91,right
96,car,0.63,,488,148,639,311,,0.63,right
96,person,0.55,,80,190,91,216,,0.55,left
96,person,0.39,,70,192,79,214,,0.39,left
97,car,0.91,,271,166,472,301,42867KHZ,0.91,right
97,car,0.64,,487,150,639,312,,0.64,right
97,person,0.53,,81,189,90,216,,0.53,left
97,person,0.4,,70,192,79,214,,0.4,left
98,car,0.91,,271,166,472,300,82867KHZ,0.91,right
98,car,0.6,,485,147,639,311,,0.6,right
98,person,0.54,,81,189,91,216,,0.54,left
98,person,0.39,,70,192,79,214,,0.39,left
99,car,0.91,,271,166,472,300,82867KHZ,0.91,right
99,car,0.78,,484,154,639,312,,0.78,right
99,person,0.52,,81,190,91,216,,0.52,left
99,person,0.4,,70,192,79,214,,0.4,left
99,car,0.3,,533,153,593,192,,0.3,right
100,car,0.91,,271,166,472,300,82867KHZ,0.91,right
100,car,0.77,,481,162,639,312,,0.77,right
100,person,0.45,,81,190,91,216,,0.45,left
100,person,0.41,,70,192,79,214,,0.41,left
101,car,0.9,,271,166,472,300,R2867KHZ,0.9,right
101,car,0.78,,472,163,639,311,,0.78,right
101,person,0.46,,81,190,91,216,,0.46,left
101,person,0.4,,70,192,79,214,,0.4,left
102,car,0.91,,271,166,472,301,82867KHZ,0.91,right
102,car,0.67,,474,158,639,311,,0.67,right
102,person,0.45,,81,190,91,216,,0.45,left
102,person,0.4,,70,192,79,214,,0.4,left
103,car,0.91,,271,166,472,301,R2867KHZ,0.91,right
103,car,0.77,,471,161,639,312,,0.77,right
103,person,0.45,,81,190,91,216,,0.45,left
